traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
確切,确切,ㄑㄩㄝˋ ㄑㄧㄝˋ,què qiè,definite / exact / precise,,Vs,Level 5/6
確實,确实,ㄑㄩㄝˋ ㄕˊ,què shí,indeed / really / reliable / real / true,,Adv,Level 5/6
群島,群岛,ㄑㄩㄣˊ ㄉㄠˇ,qún dǎo,group of islands / archipelago,,N,Level 5/6
群居,群居,ㄑㄩㄣˊ ㄐㄩ,qún jū,to live together (in a large group or flock),,Vs,Level 5/6
染料,染料,ㄖㄢˇ ㄌㄧㄠˋ,rǎn liào,dye,,N,Level 5/6
嚷,嚷,ㄖㄤˇ,rǎng,to blurt out / to shout,,Vi,Level 5/6
饒,饶,ㄖㄠˊ,ráo,rich / abundant / exuberant / to add for free / to throw in as bonus / to spare / to forgive / despite / although,,V,Level 5/6
熱潮,热潮,ㄖㄜˋ ㄔㄠˊ,rè cháo,upsurge / popular craze,,N,Level 5/6
熱帶,热带,ㄖㄜˋ ㄉㄞˋ,rè dài,the tropics / tropical,,N,Level 5/6
熱量,热量,ㄖㄜˋ ㄌㄧㄤˋ,rè liàng,heat / quantity of heat / calorific value,,N,Level 5/6
熱水瓶,热水瓶,ㄖㄜˋ ㄕㄨㄟˇ ㄆㄧㄥˊ,rè shuǐ píng,thermos bottle / vacuum bottle / hot water dispenser (appliance),個|个,N,Level 5/6
仁愛,仁爱,ㄖㄣˊ ㄞˋ,rén ài,benevolence / charity / compassion,,N,Level 5/6
人次,人次,ㄖㄣˊ ㄘˋ,rén cì,person-times / visits / classifier for number of people participating,,N,Level 5/6
人道,人道,ㄖㄣˊ ㄉㄠˋ,rén dào,"human sympathy / humanitarianism / humane / the ""human way"", one of the stages in the cycle of reincarnation (Buddhism) / sexual intercourse",,N,Level 5/6
人禍,人祸,ㄖㄣˊ ㄏㄨㄛˋ,rén huò,human disaster,,N,Level 5/6
人際,人际,ㄖㄣˊ ㄐㄧˋ,rén jì,human relationships / interpersonal,,N,Level 5/6
人情,人情,ㄖㄣˊ ㄑㄧㄥˊ,rén qíng,human emotions / social relationship / friendship / favor / a good turn,,N,Level 5/6
人群,人群,ㄖㄣˊ ㄑㄩㄣˊ,rén qún,crowd,,N,Level 5/6
人士,人士,ㄖㄣˊ ㄕˋ,rén shì,person / figure / public figure,,N,Level 5/6
人手,人手,ㄖㄣˊ ㄕㄡˇ,rén shǒu,manpower / staff / human hand,,N,Level 5/6
人選,人选,ㄖㄣˊ ㄒㄩㄢˇ,rén xuǎn,choice of person / candidate,,N,Level 5/6
人造,人造,ㄖㄣˊ ㄗㄠˋ,rén zào,man-made / artificial / synthetic,,Vs-attr,Level 5/6
忍痛,忍痛,ㄖㄣˇ ㄊㄨㄥˋ,rěn tòng,to suffer / fig. reluctantly,,Vs,Level 5/6
任,任,ㄖㄣˋ,rèn,"to assign / to appoint / to take up a post / office / responsibility / to let / to allow / to give free rein to / no matter (how, what etc) / classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",,M,Level 5/6
任期,任期,ㄖㄣˋ ㄑㄧˊ,rèn qí,term of office / tenure (entire period in office),屆|届,N,Level 5/6
任意,任意,ㄖㄣˋ ㄧˋ,rèn yì,any / arbitrary / at will / at random,,Adv,Level 5/6
認錯,认错,ㄖㄣˋ ㄘㄨㄛˋ,rèn cuò,to admit an error / to acknowledge one's mistake,,Vp,Level 5/6
認定,认定,ㄖㄣˋ ㄉㄧㄥˋ,rèn dìng,to maintain (that sth is true) / to determine (a fact) / determination (of an amount) / of the firm opinion / to believe firmly / to set one's mind on / to identify with,,V,Level 5/6
日程,日程,ㄖˋ ㄔㄥˊ,rì chéng,schedule / itinerary,個|个,N,Level 5/6
日光燈,日光灯,ㄖˋ ㄍㄨㄤ ㄉㄥ,rì guāng dēng,fluorescent light,,N,Level 5/6
日益,日益,ㄖˋ ㄧˋ,rì yì,day by day / more and more / increasingly / more and more with each passing day,,Adv,Level 5/6
容,容,ㄖㄨㄥˊ,róng,to hold / to contain / to allow / to tolerate / appearance / look / countenance,,V,Level 5/6
容量,容量,ㄖㄨㄥˊ ㄌㄧㄤˋ,róng liàng,capacity / volume / quantitative (science),,N,Level 5/6
容納,容纳,ㄖㄨㄥˊ ㄋㄚˋ,róng nà,to hold / to contain / to accommodate / to tolerate (different opinions),,Vst,Level 5/6
容器,容器,ㄖㄨㄥˊ ㄑㄧˋ,róng qì,receptacle / vessel / (computing) container,,N,Level 5/6
容許,容许,ㄖㄨㄥˊ ㄒㄩˇ,róng xǔ,to permit / to allow,,V,Level 5/6
溶,溶,ㄖㄨㄥˊ,róng,to dissolve / soluble,,Vs,Level 5/6
溶化,溶化,ㄖㄨㄥˊ ㄏㄨㄚˋ,róng huà,to melt / to dissolve (of sugar etc),,Vp,Level 5/6
融合,融合,ㄖㄨㄥˊ ㄏㄜˊ,róng hé,a mixture / an amalgam / fusion / welding together / to be in harmony with (nature) / to harmonize with / to fit in,,V,Level 5/6
融洽,融洽,ㄖㄨㄥˊ ㄑㄧㄚˋ,róng qià,harmonious / friendly relations / on good terms with one another,,Vs,Level 5/6
榮譽,荣誉,ㄖㄨㄥˊ ㄩˋ,róng yù,honor / credit / glory / (honorable) reputation / honorary,,N,Level 5/6
揉,揉,ㄖㄡˊ,róu,to knead / to massage / to rub,,V,Level 5/6
柔軟,柔软,ㄖㄡˊ ㄖㄨㄢˇ,róu ruǎn,soft,,Vs,Level 5/6
肉麻,肉麻,ㄖㄡˋ ㄇㄚˊ,ròu má,sickening / corny / sappy / maudlin / fulsome (of praise),,Vs,Level 5/6
肉體,肉体,ㄖㄡˋ ㄊㄧˇ,ròu tǐ,physical body,,N,Level 5/6
如此,如此,ㄖㄨˊ ㄘˇ,rú cǐ,in this way / so,,Adv,Level 5/6
儒家,儒家,ㄖㄨˊ ㄐㄧㄚ,rú jiā,"Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC)",,N,Level 5/6
入超,入超,ㄖㄨˋ ㄔㄠ,rù chāo,trade deficit / import surplus,,Vs,Level 5/6
入口,入口,ㄖㄨˋ ㄎㄡˇ,rù kǒu,entrance / to import,,Vi,Level 5/6
入世,入世,ㄖㄨˋ ㄕˋ,rù shì,to engage with secular society / to involve oneself in human affairs / to join the WTO (abbr. for 加入世界貿易組織|加入世界贸易组织[jia1 ru4 Shi4 jie4 Mao4 yi4 Zu3 zhi1]),,Vs,Level 5/6
軟弱,软弱,ㄖㄨㄢˇ ㄖㄨㄛˋ,ruǎn ruò,weak / feeble / flabby,,Vs,Level 5/6
軟體,软体,ㄖㄨㄢˇ ㄊㄧˇ,ruǎn tǐ,software (Tw) / soft-bodied (animal),,N,Level 5/6
若,若,ㄖㄨㄛˋ,ruò,to seem / like / as / if,,Conj,Level 5/6
若干,若干,ㄖㄨㄛˋ ㄍㄢ,ruò gān,a certain number or amount / how many? / how much?,,Det,Level 5/6
撒謊,撒谎,ㄙㄚ ㄏㄨㄤˇ,sā huǎng,to tell lies,,V-sep,Level 5/6
撒,撒,ㄙㄚˇ,sǎ,to scatter / to sprinkle / to spill,,V,Level 5/6
灑,洒,ㄙㄚˇ,sǎ,to sprinkle / to spray / to spill / to shed,,V,Level 5/6
塞車,塞车,ㄙㄞ ㄔㄜ,sāi chē,traffic jam,,Vs,Level 5/6
賽,赛,ㄙㄞˋ,sài,to compete / competition / match / to surpass / better than / superior to / to excel,,V,Level 5/6
散文,散文,ㄙㄢˇ ㄨㄣˊ,sǎn wén,prose / essay,,N,Level 5/6
散布,散布,ㄙㄢˋ ㄅㄨˋ,sàn bù,to disseminate,,V,Level 5/6
散佈,散佈,ㄙㄢˋ ㄅㄨˋ,sàn bù,to disseminate,,V,Level 5/6
喪事,丧事,ㄙㄤ ㄕˋ,sāng shì,funeral arrangements,,N,Level 5/6
嗓子,嗓子,ㄙㄤˇ ㄗ˙,sǎng zi,throat / voice,把|把,N,Level 5/6
喪生,丧生,ㄙㄤˋ ㄕㄥ,sàng shēng,to die / to lose one's life,,Vp,Level 5/6
騷動,骚动,ㄙㄠ ㄉㄨㄥˋ,sāo dòng,disturbance / uproar / to become restless,陣|阵,Vi,Level 5/6
嫂子,嫂子,ㄙㄠˇ ㄗ˙,sǎo zi,(coll.) older brother's wife / sister-in-law,個|个,N,Level 5/6
色澤,色泽,ㄙㄜˋ ㄗㄜˊ,sè zé,color and luster,,N,Level 5/6
剎車,剎车,ㄕㄚ ㄔㄜ,shā chē,to brake (when driving) / to stop / to switch off / to check (bad habits) / a brake,,V-sep,Level 5/6
煞車,煞车,ㄕㄚ ㄔㄜ,shā chē,to brake (when driving),,V-sep,Level 5/6
沙拉,沙拉,ㄕㄚ ㄌㄚ,shā lā,salad (loanword),,N,Level 5/6
沙啞,沙哑,ㄕㄚ ㄧㄚˇ,shā yǎ,hoarse / rough,,Vs,Level 5/6
傻瓜,傻瓜,ㄕㄚˇ ㄍㄨㄚ,shǎ guā,idiot / fool,,N,Level 5/6
山峰,山峰,ㄕㄢ ㄈㄥ,shān fēng,(mountain) peak,,N,Level 5/6
山谷,山谷,ㄕㄢ ㄍㄨˇ,shān gǔ,valley / ravine,,N,Level 5/6
山脈,山脉,ㄕㄢ ㄇㄞˋ,shān mài,mountain range,條|条,N,Level 5/6
閃電,闪电,ㄕㄢˇ ㄉㄧㄢˋ,shǎn diàn,lightning,道|道,N,Level 5/6
閃爍,闪烁,ㄕㄢˇ ㄕㄨㄛˋ,shǎn shuò,flickering / twinkling / evasive / vague (of speech),,Vi,Level 5/6
閃耀,闪耀,ㄕㄢˇ ㄧㄠˋ,shǎn yào,to glint / to glitter / to sparkle / to radiate,,Vs,Level 5/6
擅長,擅长,ㄕㄢˋ ㄔㄤˊ,shàn cháng,to be good at / to be expert in,,Vst,Level 5/6
傷害,伤害,ㄕㄤ ㄏㄞˋ,shāng hài,to injure / to harm,,N,Level 5/6
傷口,伤口,ㄕㄤ ㄎㄡˇ,shāng kǒu,wound / cut,,N,Level 5/6
傷亡,伤亡,ㄕㄤ ㄨㄤˊ,shāng wáng,casualties / injuries and deaths,,Vp,Level 5/6
商榷,商榷,ㄕㄤ ㄑㄩㄝˋ,shāng què,to discuss / to bring up various ideas for discussion,,Vi,Level 5/6
商討,商讨,ㄕㄤ ㄊㄠˇ,shāng tǎo,to discuss / to deliberate,,V,Level 5/6
賞,赏,ㄕㄤˇ,shǎng,to bestow (a reward) / to give (to an inferior) / to hand down / a reward (bestowed by a superior) / to appreciate (beauty),,V,Level 5/6
尚,尚,ㄕㄤˋ,shàng,still / yet / to value / to esteem,,Adv,Level 5/6
上吊,上吊,ㄕㄤˋ ㄉㄧㄠˋ,shàng diào,to hang oneself,,Vi,Level 5/6
上好,上好,ㄕㄤˋ ㄏㄠˇ,shàng hǎo,first-rate / top-notch,,Vs-attr,Level 5/6
上進,上进,ㄕㄤˋ ㄐㄧㄣˋ,shàng jìn,to make progress / to do better / fig. ambitious to improve oneself / to move forwards,,Vs,Level 5/6
上空,上空,ㄕㄤˋ ㄎㄨㄥ,shàng kōng,overhead / in the sky,,N,Level 5/6
上路,上路,ㄕㄤˋ ㄌㄨˋ,shàng lù,to start on a journey / to be on one's way,,Vp,Level 5/6
上門,上门,ㄕㄤˋ ㄇㄣˊ,shàng mén,"to drop in / to visit / to lock a door / (of a shop) to close / to go and live with one's wife's family, in effect becoming a member of her family",,Vi,Level 5/6
上司,上司,ㄕㄤˋ ㄙ,shàng sī,boss / superior,,N,Level 5/6
上下,上下,ㄕㄤˋ ㄒㄧㄚˋ,shàng xià,up and down / top and bottom / old and new / length / about,,N,Level 5/6
上旬,上旬,ㄕㄤˋ ㄒㄩㄣˊ,shàng xún,first third of a month,,N,Level 5/6
上演,上演,ㄕㄤˋ ㄧㄢˇ,shàng yǎn,to screen (a movie) / to stage (a play) / a screening / a staging,,V,Level 5/6
上癮,上瘾,ㄕㄤˋ ㄧㄣˇ,shàng yǐn,to get into a habit / to become addicted,,Vp,Level 5/6
上漲,上涨,ㄕㄤˋ ㄓㄤˇ,shàng zhǎng,to rise / to go up,,Vp,Level 5/6
燒香,烧香,ㄕㄠ ㄒㄧㄤ,shāo xiāng,to burn incense,,V-sep,Level 5/6
奢侈,奢侈,ㄕㄜ ㄔˇ,shē chǐ,luxurious / extravagant,,Vs,Level 5/6
奢望,奢望,ㄕㄜ ㄨㄤˋ,shē wàng,an extravagant hope / to have excessive expectations,,Vst,Level 5/6
設,设,ㄕㄜˋ,shè,to set up / to arrange / to establish / to found / to display,,V,Level 5/6
設施,设施,ㄕㄜˋ ㄕ,shè shī,facilities / installation,,N,Level 5/6
設想,设想,ㄕㄜˋ ㄒㄧㄤˇ,shè xiǎng,to imagine / to assume / to envisage / tentative plan / to have consideration for,,Vi,Level 5/6
射擊,射击,ㄕㄜˋ ㄐㄧˊ,shè jí,to shoot / to fire (a gun),,V,Level 5/6
射手,射手,ㄕㄜˋ ㄕㄡˇ,shè shǒu,archer / shooter / marksman / (football etc) striker,,N,Level 5/6
涉及,涉及,ㄕㄜˋ ㄐㄧˊ,shè jí,to involve / to touch upon (a topic),,Vpt,Level 5/6
涉嫌,涉嫌,ㄕㄜˋ ㄒㄧㄢˊ,shè xián,to be a suspect (in a crime) / to be suspected of,,Vst,Level 5/6
社論,社论,ㄕㄜˋ ㄌㄨㄣˋ,shè lùn,editorial (in a newspaper),篇|篇,N,Level 5/6
社區,社区,ㄕㄜˋ ㄑㄩ,shè qū,community / neighborhood,,N,Level 5/6
攝取,摄取,ㄕㄜˋ ㄑㄩˇ,shè qǔ,to absorb (nutrients etc) / to assimilate / intake / to take a photograph of (a scene),,V,Level 5/6
攝氏,摄氏,ㄕㄜˋ ㄕˋ,shè shì,Celsius / centigrade,,N,Level 5/6
攝影機,摄影机,ㄕㄜˋ ㄧㄥˇ ㄐㄧ,shè yǐng jī,camera / movie camera,,N,Level 5/6
深奧,深奥,ㄕㄣ ㄠˋ,shēn ào,profound / abstruse / recondite / profoundly,,Vs,Level 5/6
深沉,深沉,ㄕㄣ ㄔㄣˊ,shēn chén,"deep / profound / (of a person) reserved / undemonstrative / (of a voice, sound etc) deep / low-pitched",,Vs,Level 5/6
深度,深度,ㄕㄣ ㄉㄨˋ,shēn dù,depth / (of a speech etc) profundity / advanced stage of development,,N,Level 5/6
深厚,深厚,ㄕㄣ ㄏㄡˋ,shēn hòu,deep / profound,,Vs,Level 5/6
深切,深切,ㄕㄣ ㄑㄧㄝˋ,shēn qiè,deeply felt / heartfelt / sincere / honest,,Vs,Level 5/6
深入,深入,ㄕㄣ ㄖㄨˋ,shēn rù,to penetrate deeply / thorough,,V,Level 5/6
深造,深造,ㄕㄣ ㄗㄠˋ,shēn zào,to pursue one's studies,,Vi,Level 5/6
身段,身段,ㄕㄣ ㄉㄨㄢˋ,shēn duàn,a woman's physique / figure / posture on stage,,N,Level 5/6
身教,身教,ㄕㄣ ㄐㄧㄠˋ,shēn jiào,to teach by example,,N,Level 5/6
身為,身为,ㄕㄣ ㄨㄟˊ,shēn wéi,in the capacity of / as,,Vst,Level 5/6
身子,身子,ㄕㄣ ㄗ˙,shēn zi,body / pregnancy / health,,N,Level 5/6
伸張,伸张,ㄕㄣ ㄓㄤ,shēn zhāng,to uphold (e.g. justice or virtue) / to promote,,V,Level 5/6
神,神,ㄕㄣˊ,shén,deity / soul / spirit / unusual / mysterious / lively / expressive / expression / look / (slang) awesome / amazing,個|个,Vs,Level 5/6
神情,神情,ㄕㄣˊ ㄑㄧㄥˊ,shén qíng,look / expression,,N,Level 5/6
審核,审核,ㄕㄣˇ ㄏㄜˊ,shěn hé,to audit / to investigate thoroughly,,V,Level 5/6
審判,审判,ㄕㄣˇ ㄆㄢˋ,shěn pàn,a trial / to try sb,,V,Level 5/6
審慎,审慎,ㄕㄣˇ ㄕㄣˋ,shěn shèn,prudent / cautious,,Vs,Level 5/6
審議,审议,ㄕㄣˇ ㄧˋ,shěn yì,deliberation / pondering / due consideration,,V,Level 5/6
甚,甚,ㄕㄣˋ,shèn,what / very / extremely / any,,Adv,Level 5/6
滲入,渗入,ㄕㄣˋ ㄖㄨˋ,shèn rù,to permeate,,V,Level 5/6
生詞,生词,ㄕㄥ ㄘˊ,shēng cí,new word (in textbook) / word that is unfamiliar or not yet studied,組|组 / 個|个,N,Level 5/6
生火,生火,ㄕㄥ ㄏㄨㄛˇ,shēng huǒ,to make a fire / to light a fire,,V-sep,Level 5/6
生理,生理,ㄕㄥ ㄌㄧˇ,shēng lǐ,physiology,,N,Level 5/6
生平,生平,ㄕㄥ ㄆㄧㄥˊ,shēng píng,life (a person's whole life) / in one's entire life,,N,Level 5/6
生氣,生气,ㄕㄥ ㄑㄧˋ,shēng qì,to get angry / to take offense / angry / vitality / liveliness,,N,Level 5/6
生前,生前,ㄕㄥ ㄑㄧㄢˊ,shēng qián,(of a deceased) during one's life / while living,,N,Level 5/6
生人,生人,ㄕㄥ ㄖㄣˊ,shēng rén,stranger / living person / to give birth / to be born (in a certain time or place),,N,Level 5/6
生死,生死,ㄕㄥ ㄙˇ,shēng sǐ,life or death,,N,Level 5/6
生態,生态,ㄕㄥ ㄊㄞˋ,shēng tài,ecology,,N,Level 5/6
生物,生物,ㄕㄥ ㄨˋ,shēng wù,organism / living creature / life form / biological,個|个,N,Level 5/6
生效,生效,ㄕㄥ ㄒㄧㄠˋ,shēng xiào,to take effect / to go into effect,,Vp,Level 5/6
生硬,生硬,ㄕㄥ ㄧㄥˋ,shēng yìng,stiff / harsh,,Vs,Level 5/6
生育,生育,ㄕㄥ ㄩˋ,shēng yù,to bear / to give birth / to grow / to rear / to bring up (children) / fertility,,N,Level 5/6
生育,生育,ㄕㄥ ㄩˋ,shēng yù,to bear / to give birth / to grow / to rear / to bring up (children) / fertility,,V,Level 5/6
生殖,生殖,ㄕㄥ ㄓˊ,shēng zhí,to reproduce / to flourish,,Vi,Level 5/6
升遷,升迁,ㄕㄥ ㄑㄧㄢ,shēng qiān,promote / promotion,,Vi,Level 5/6
升值,升值,ㄕㄥ ㄓˊ,shēng zhí,to rise in value / to appreciate,,Vp,Level 5/6
聲稱,声称,ㄕㄥ ㄔㄥ,shēng chēng,to claim / to state / to proclaim / to assert,,V,Level 5/6
聲明,声明,ㄕㄥ ㄇㄧㄥˊ,shēng míng,to state / to declare / statement / declaration,項|项 / 份|份,N,Level 5/6
聲勢,声势,ㄕㄥ ㄕˋ,shēng shì,fame and power / prestige / influence / impetus / momentum,,N,Level 5/6
省,省,ㄕㄥˇ,shěng,to inspect / to examine / to be aware / to pay a visit (to one's parents or elders),,N,Level 5/6
省事,省事,ㄕㄥˇ ㄕˋ,shěng shì,to handle administrative work,,Vs,Level 5/6
盛,盛,ㄕㄥˋ,shèng,flourishing / vigorous / magnificent / extensively,,Vs,Level 5/6
盛情,盛情,ㄕㄥˋ ㄑㄧㄥˊ,shèng qíng,great kindness / magnificent hospitality,,N,Level 5/6
盛行,盛行,ㄕㄥˋ ㄒㄧㄥˊ,shèng xíng,to be in vogue / to be prevalent,,Vs,Level 5/6
盛裝,盛装,ㄕㄥˋ ㄓㄨㄤ,shèng zhuāng,splendid clothes / rich attire / one's Sunday best,,Vs,Level 5/6
勝地,胜地,ㄕㄥˋ ㄉㄧˋ,shèng dì,well-known scenic spot,,N,Level 5/6
聖賢,圣贤,ㄕㄥˋ ㄒㄧㄢˊ,shèng xián,a sage / wise and holy man / virtuous ruler / Buddhist lama / wine,,N,Level 5/6
失,失,ㄕ,shī,to lose / to miss / to fail,,Vpt,Level 5/6
失靈,失灵,ㄕ ㄌㄧㄥˊ,shī líng,out of order (of machine) / not working properly / a failing (of a system),,Vp,Level 5/6
失落,失落,ㄕ ㄌㄨㄛˋ,shī luò,to lose (sth) / to drop (sth) / to feel a sense of loss / frustrated / disappointment / loss,,Vs,Level 5/6
失明,失明,ㄕ ㄇㄧㄥˊ,shī míng,to lose one's eyesight / to become blind / blindness,,Vp,Level 5/6
失事,失事,ㄕ ㄕˋ,shī shì,"(of a plane, ship etc) to have an accident (plane crash, shipwreck, vehicle collision etc) / to mess things up",,Vp,Level 5/6
失手,失手,ㄕ ㄕㄡˇ,shī shǒu,a slip / miscalculation / unwise move / accidentally / by mistake / to lose control / to be defeated,,Vs,Level 5/6
失蹤,失踪,ㄕ ㄗㄨㄥ,shī zōng,to be missing / to disappear / unaccounted for,,Vp,Level 5/6
師範,师范,ㄕ ㄈㄢˋ,shī fàn,"teacher-training / pedagogical / normal (school, e.g. Beijing Normal University)",,Vs-attr,Level 5/6
施肥,施肥,ㄕ ㄈㄟˊ,shī féi,to spread manure / to apply fertilizer,,V-sep,Level 5/6
施行,施行,ㄕ ㄒㄧㄥˊ,shī xíng,to put in place / to put into practice / to take effect,,V,Level 5/6
屍體,尸体,ㄕ ㄊㄧˇ,shī tǐ,dead body / corpse / carcass,具|具,N,Level 5/6
石膏,石膏,ㄕˊ ㄍㄠ,shí gāo,gypsum CaSO4·2(H2O) / plaster / plaster cast (for a broken bone),,N,Level 5/6
十足,十足,ㄕˊ ㄗㄨˊ,shí zú,ample / complete / hundred percent / a pure shade (of some color),,Vs,Level 5/6
拾,拾,ㄕˊ,shí,to pick up / to collate or arrange / ten (banker's anti-fraud numeral),,V,Level 5/6
時差,时差,ㄕˊ ㄔㄚ,shí chā,time difference / time lag / jet lag,,N,Level 5/6
時光,时光,ㄕˊ ㄍㄨㄤ,shí guāng,time / era / period of time,,N,Level 5/6
時節,时节,ㄕˊ ㄐㄧㄝˊ,shí jié,season / time,,N,Level 5/6
時髦,时髦,ㄕˊ ㄇㄠˊ,shí máo,in vogue / fashionable,,Vs,Level 5/6
時效,时效,ㄕˊ ㄒㄧㄠˋ,shí xiào,effectiveness for a given period of time / prescription (law) / aging (metallurgy),,N,Level 5/6
實地,实地,ㄕˊ ㄉㄧˋ,shí dì,on-site,,Adv,Level 5/6
實踐,实践,ㄕˊ ㄐㄧㄢˋ,shí jiàn,practice / to put into practice / to live up to (a promise) / to carry out (a project),,V,Level 5/6
實況,实况,ㄕˊ ㄎㄨㄤˋ,shí kuàng,live (e.g. broadcast or recording) / what is actually happening / scene / the real situation,,N,Level 5/6
實例,实例,ㄕˊ ㄌㄧˋ,shí lì,actual example / living example / illustration / demonstration / (computing) instance,,N,Level 5/6
實習,实习,ㄕˊ ㄒㄧˊ,shí xí,to practice / field work / to intern / internship,,Vi,Level 5/6
實證,实证,ㄕˊ ㄓㄥˋ,shí zhèng,actual proof / concrete evidence / empirical,,N,Level 5/6
實質,实质,ㄕˊ ㄓˊ,shí zhí,substance / essence,,N,Level 5/6
屎,屎,ㄕˇ,shǐ,stool / feces / ear wax / nasal mucus,,N,Level 5/6
史料,史料,ㄕˇ ㄌㄧㄠˋ,shǐ liào,historical material or data,,N,Level 5/6
使喚,使唤,ㄕˇ ㄏㄨㄢˋ,shǐ huàn,to order sb about / to use sb,,V,Level 5/6
使節,使节,ㄕˇ ㄐㄧㄝˊ,shǐ jié,(diplomatic) envoy,,N,Level 5/6
使勁,使劲,ㄕˇ ㄐㄧㄥˋ,shǐ jìng,to exert all one's strength,,Vi,Level 5/6
使命,使命,ㄕˇ ㄇㄧㄥˋ,shǐ mìng,mission / long-term task to which one devotes oneself / a calling,,N,Level 5/6
士兵,士兵,ㄕˋ ㄅㄧㄥ,shì bīng,soldier,個|个,N,Level 5/6
仕女,仕女,ㄕˋ ㄋㄩˇ,shì nǚ,court lady / palace maid / traditional painting of beautiful women,,N,Level 5/6
示範,示范,ㄕˋ ㄈㄢˋ,shì fàn,to demonstrate / to show how to do sth / demonstration / a model example,,Vi,Level 5/6
市面,市面,ㄕˋ ㄇㄧㄢˋ,shì miàn,market (usually in the abstract sense),,N,Level 5/6
市容,市容,ㄕˋ ㄖㄨㄥˊ,shì róng,appearance of a city,,N,Level 5/6
世代,世代,ㄕˋ ㄉㄞˋ,shì dài,for many generations / generation / era / age,,N,Level 5/6
世間,世间,ㄕˋ ㄐㄧㄢ,shì jiān,world / earth,,N,Level 5/6
世事,世事,ㄕˋ ㄕˋ,shì shì,affairs of life / things of the world,,N,Level 5/6
試卷,试卷,ㄕˋ ㄐㄩㄢˋ,shì juàn,examination paper / test paper,份|份 / 張|张,N,Level 5/6
試圖,试图,ㄕˋ ㄊㄨˊ,shì tú,to attempt / to try,,Aux,Level 5/6
逝世,逝世,ㄕˋ ㄕˋ,shì shì,to pass away / to die,,Vp,Level 5/6
勢必,势必,ㄕˋ ㄅㄧˋ,shì bì,to be bound to / undoubtedly will,,Adv,Level 5/6
事故,事故,ㄕˋ ㄍㄨˋ,shì gù,accident,樁|桩 / 起|起 / 次|次,N,Level 5/6
事變,事变,ㄕˋ ㄅㄧㄢˋ,shì biàn,incident / unforeseen event / events (in general),,N,Level 5/6
事態,事态,ㄕˋ ㄊㄞˋ,shì tài,situation / existing state of affairs,,N,Level 5/6
事務,事务,ㄕˋ ㄨˋ,shì wù,"(political, economic etc) affairs / work / transaction (as in a computer database)",,N,Level 5/6
事宜,事宜,ㄕˋ ㄧˊ,shì yí,matters / arrangements,,N,Level 5/6
釋放,释放,ㄕˋ ㄈㄤˋ,shì fàng,to release / to set free / to liberate (a prisoner) / to discharge,,V,Level 5/6
嗜好,嗜好,ㄕˋ ㄏㄠˋ,shì hào,hobby / indulgence / habit / addiction,,N,Level 5/6
視為,视为,ㄕˋ ㄨㄟˊ,shì wéi,to view as / to see as / to consider to be / to deem,,V,Level 5/6
室友,室友,ㄕˋ ㄧㄡˇ,shì yǒu,roommate,,N,Level 5/6
適宜,适宜,ㄕˋ ㄧˊ,shì yí,suitable / appropriate,,Vs,Level 5/6
適中,适中,ㄕˋ ㄓㄨㄥ,shì zhōng,moderate / reasonable / conveniently situated,,Vs,Level 5/6
收藏,收藏,ㄕㄡ ㄘㄤˊ,shōu cáng,to hoard / to collect / collection / to bookmark (Internet),,V,Level 5/6
收費,收费,ㄕㄡ ㄈㄟˋ,shōu fèi,to charge a fee,,V-sep,Level 5/6
收集,收集,ㄕㄡ ㄐㄧˊ,shōu jí,to gather / to collect,,V,Level 5/6
收買,收买,ㄕㄡ ㄇㄞˇ,shōu mǎi,to purchase / to bribe,,V,Level 5/6
收縮,收缩,ㄕㄡ ㄙㄨㄛ,shōu suō,to pull back / to shrink / to contract / (physiology) systole,,Vi,Level 5/6
收聽,收听,ㄕㄡ ㄊㄧㄥ,shōu tīng,to listen to (a radio broadcast),,V,Level 5/6
收益,收益,ㄕㄡ ㄧˋ,shōu yì,earnings / profit,,N,Level 5/6
手冊,手册,ㄕㄡˇ ㄘㄜˋ,shǒu cè,manual / handbook,,N,Level 5/6
手槍,手枪,ㄕㄡˇ ㄑㄧㄤ,shǒu qiāng,pistol,把|把,N,Level 5/6
手勢,手势,ㄕㄡˇ ㄕˋ,shǒu shì,gesture / sign / signal,,N,Level 5/6
守,守,ㄕㄡˇ,shǒu,to guard / to defend / to keep watch / to abide by the law / to observe (rules or ritual) / nearby / adjoining,,V,Level 5/6
守護,守护,ㄕㄡˇ ㄏㄨˋ,shǒu hù,to guard / to protect,,V,Level 5/6
首府,首府,ㄕㄡˇ ㄈㄨˇ,shǒu fǔ,capital city of an autonomous region,,N,Level 5/6
首領,首领,ㄕㄡˇ ㄌㄧㄥˇ,shǒu lǐng,head / boss / chief,,N,Level 5/6
首席,首席,ㄕㄡˇ ㄒㄧˊ,shǒu xí,"chief (representative, correspondent etc)",,N,Level 5/6
首飾,首饰,ㄕㄡˇ ㄕˋ,shǒu shì,jewelry / head ornament,,N,Level 5/6
首先,首先,ㄕㄡˇ ㄒㄧㄢ,shǒu xiān,first (of all) / in the first place,,Conj,Level 5/6
